link_id,page,page_reference,category,product_or_option,display_name,model,preferred_current_url,preferred_source,verification_status,clean_pdf_url,original_pdf_url,official_or_manufacturer_url,associated_image_files,notes,verified_date
LINK-01,21,A.20 Product sourcing,Faucet,Main kitchen faucet,Delta Trinsic pull-down kitchen faucet — Champagne Bronze,9159-CZ-DST,https://www.amazon.ca/dp/B0050EN8E6,Amazon Canada (canonical ASIN),Canonicalized; retailer crawler blocked,https://www.amazon.ca/dp/B0050EN8E6,https://www.amazon.ca/9159-CZ-DST-Pull-Down-Kitchen-Faucet-Champagne/dp/B0050EN8E6/ref=asc_df_B0050EN8E6?mcid=8d8cde5f94a337138098c9199a36cec0&tag=googleshopc0c-20&linkCode=df0&hvadid=706725384468&hvpos=&hvnetw=g&hvrand=10914149429225632932&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9000677&hvtargid=pla-384537213566&hvocijid=10914149429225632932-B0050EN8E6-&hvexpln=0&gad_source=1&th=1,https://fr.deltafaucet.ca/kitchen/product/9159-DST,images/img_047_p21_xref428.png,"Delta product-family page is current; the Canadian 9159-CZ-DST-1.5 variant is shown by Delta as discontinued, so keep the exact ASIN retail link for the specified item.",2026-09-25
LINK-02,21,A.20 Product sourcing,Faucet,Drinking / reverse-osmosis faucet,Delta Contemporary Round beverage / RO faucet — Champagne Bronze,1930-CZ-DST,https://fr.deltafaucet.ca/kitchen/product/1930-CZ-DST,Delta Faucet Canada,Verified current,https://www.amazon.ca/dp/B093KDJQFW,https://www.amazon.ca/Delta-Faucet-1930-CZ-DST-Contemporary-Champagne/dp/B093KDJQFW/ref=asc_df_B093KDJQFW?mcid=1f2c41b871753b0cbf05395ca88cea43&tag=googleshopc0c-20&linkCode=df0&hvadid=706739494290&hvpos=&hvnetw=g&hvrand=9881490294605905256&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9001028&hvtargid=pla-1394172990668&hvocijid=9881490294605905256-B093KDJQFW-&hvexpln=0&gad_source=1&th=1,https://fr.deltafaucet.ca/kitchen/product/1930-CZ-DST,images/img_046_p21_xref427.png,Manufacturer page explicitly states compatibility with reverse-osmosis or water-filtration systems.,2026-09-25
LINK-03,21,A.20 Product sourcing,Apron sink,Apron double sink alternatives,DeerValley 33 × 20 double-basin workstation farmhouse sink,DV-1K0068,https://www.deervalleybath.com/en-ca/products/deervalley-dv-1k0068-33-l-x-20-w-double-basin-workstation-farmhouse-kitchen-sink-with-sink-grid-cutting-board-and-dish-drying-rack,DeerValley Bath,Verified current,https://www.wayfair.ca/home-improvement/pdp/deervalley-33-l-x-20-w-double-basin-workstation-farmhouse-kitchen-sink-with-sink-grid-cutting-board-and-dish-drying-rack-drll1212.html?piid=101798384,https://www.wayfair.ca/home-improvement/pdp/deervalley-33-l-x-20-w-double-basin-workstation-farmhouse-kitchen-sink-with-sink-grid-cutting-board-and-dish-drying-rack-drll1212.html?piid=101798384,https://www.deervalleybath.com/en-ca/products/deervalley-dv-1k0068-33-l-x-20-w-double-basin-workstation-farmhouse-kitchen-sink-with-sink-grid-cutting-board-and-dish-drying-rack,images/img_048_p21_xref429.png,Manufacturer-direct page is more stable and clearer than the retail tracking URL.,2026-09-25
LINK-04,21,A.20 Product sourcing,Apron sink,Apron double sink alternatives,Sinkology Turner 33-inch double-bowl fireclay farmhouse sink,SK405-33FC,https://www.sinkology.com/product/turner-33-double-bowl-fireclay-sink/,Sinkology,Verified current,https://www.wayfair.ca/home-improvement/pdp/sinkology-turner-crisp-white-fireclay-33-double-bowl-undermount-farmhouse-apron-kitchen-sink-tcla1205.html?piid=132210302%2C132210304,https://www.wayfair.ca/home-improvement/pdp/sinkology-turner-crisp-white-fireclay-33-double-bowl-undermount-farmhouse-apron-kitchen-sink-tcla1205.html?piid=132210302%2C132210304,https://www.sinkology.com/product/turner-33-double-bowl-fireclay-sink/,images/img_048_p21_xref429.png,Manufacturer page replaces the longer Wayfair URL.,2026-09-25
LINK-05,21,A.20 Product sourcing,Apron sink,Apron double sink alternatives,DeerValley Eclipse 33 × 18 double-bowl farmhouse sink,DV-1K028,https://www.deervalleybath.com/en-ca/products/sutton-place-33-l-x-18-w-double-basin-farmhouse-kitchen-sink,DeerValley Bath,Verified current,https://www.wayfair.ca/home-improvement/pdp/deervalley-eclipse-33-l-x-18-w-double-bowl-farmhouse-kitchen-sink-with-accessories-drll1017.html?piid=89280100,https://www.wayfair.ca/home-improvement/pdp/deervalley-eclipse-33-l-x-18-w-double-bowl-farmhouse-kitchen-sink-with-accessories-drll1017.html?piid=89280100,https://www.deervalleybath.com/en-ca/products/sutton-place-33-l-x-18-w-double-basin-farmhouse-kitchen-sink,images/img_048_p21_xref429.png,Manufacturer page identifies the 33 × 18 white dual-basin Eclipse as DV-1K028.,2026-09-25
LINK-06,21,A.20 Product sourcing,Apron sink,Apron double sink alternatives,Sinkology Parker 34-inch Quick-Fit double-bowl fireclay sink — Crisp White,SK453-34FC,https://www.sinkology.com/product/parker-34-quick-fit-fireclay-double-bowl-sink/,Sinkology,Verified current,https://www.wayfair.ca/home-improvement/pdp/sinkology-parker-crisp-white-fireclay-3385-double-bowl-quick-fit-drop-in-farmhouse-apron-kitchen-sink-tcla1207.html?piid=132400884%2C132400886%2C132400885,https://www.wayfair.ca/home-improvement/pdp/sinkology-parker-crisp-white-fireclay-3385-double-bowl-quick-fit-drop-in-farmhouse-apron-kitchen-sink-tcla1207.html?piid=132400884%2C132400886%2C132400885,https://www.sinkology.com/product/parker-34-quick-fit-fireclay-double-bowl-sink/,images/img_048_p21_xref429.png,Exact manufacturer product page for the double-bowl Parker.,2026-09-25
LINK-07,21,A.20 Product sourcing,Cabinet hardware,Factor handles / brass cabinet knobs,Amerock Factor handles — Champagne Bronze,02A2082 / 02A2083 etc.,https://www.leevalley.com/en-ca/shop/hardware/handles/cabinet/116230-factor-handles,Lee Valley,Verified current,https://www.leevalley.com/en-ca/shop/hardware/handles/cabinet/116230-factor-handles?item=02A2089,https://www.leevalley.com/en-ca/shop/hardware/handles/cabinet/116230-factor-handles?item=02A2089,,images/img_021_p08_xref164.png; images/img_051_p21_xref432.png,Tracking/item selector removed; finish and centre-to-centre options remain selectable.,2026-09-25
LINK-08,21,A.20 Product sourcing,Cabinet hardware,Factor handles / brass cabinet knobs,Amerock Factor knob — Champagne Bronze,02A2081,https://www.leevalley.com/en-ca/shop/hardware/knobs/cabinet/116229-factor-knob,Lee Valley,Verified current,https://www.leevalley.com/en-ca/shop/hardware/knobs/cabinet/116229-factor-knob,https://www.leevalley.com/en-ca/shop/hardware/knobs/cabinet/116229-factor-knob,,images/img_021_p08_xref164.png; images/img_051_p21_xref432.png,Current product page confirms the Champagne Bronze option.,2026-09-25
LINK-09,21,A.20 Product sourcing,Cabinet hardware,Factor handles / brass cabinet knobs,Round brass knobs — set of 2,47378555,https://www.zarahome.com/ca/set-of-round-brass-knobs-set-of-2-l47378555,Zara Home Canada,Verified current,https://www.zarahome.com/ca/set-of-round-brass-knobs-set-of-2-l47378555,https://www.zarahome.com/ca/set-of-round-brass-knobs-set-of-2-l47378555,,images/img_021_p08_xref164.png; images/img_051_p21_xref432.png,Already close to canonical; retained.,2026-09-25
LINK-10,21,A.20 Product sourcing,Countertop,Zenith White Onyx quartz,Zenith Quartz — White Onyx,White Onyx,https://zenithquartz.ca/produit/white-onyx/,Zenith Quartz,Verified current,https://zenithquartz.ca/produit/white-onyx/,https://zenithquartz.ca/produit/white-onyx/,https://zenithquartz.ca/produit/white-onyx/,images/img_045_p21_xref426.png; images/img_049_p21_xref430.png,Manufacturer page retained.,2026-09-25
